,UTS Depot,Bus,Route,Run,Operator,Unscheduled PO ,Scheduled PO,Actual PO,PO Diff,PO Depot ,Scheduled PI,Actual PI,PI diff,Depot PI
1979,EN,7910,B14,B17-765,45319,,2024-01-06 09:44:00,2024-01-06 09:51:00,+00:07,EN,2024-01-06 12:46:00,2024-01-06 12:41:00,-00:04,EN
1980,EN,7910,B14,Q24-417,463058,,2024-01-06 12:48:00,2024-01-06 13:05:00,+00:17,EN,2024-01-06 17:32:00,2024-01-06 17:53:00,+00:21,EN
1981,EN,7910,B15,B15-151,33556,,2024-01-06 17:39:00,2024-01-06 18:15:00,+00:36,EN,2024-01-06 23:27:00,2024-01-07 00:41:00,+01:14,EN
1984,EN,7911,B25,B25-219,777035,,2024-01-06 09:42:00,2024-01-06 09:45:00,+00:03,EN,2024-01-06 20:59:00,2024-01-06 20:53:00,-00:05,EN
1985,EN,7911,Q24,Q56-463,555047,,2024-01-06 20:17:00,2024-01-06 21:19:00,+01:02,EN,2024-01-07 00:29:00,2024-01-07 00:37:00,+00:08,EN
1987,EN,7912,,B14-705,578011,,2024-01-06 07:44:00,2024-01-06 07:51:00,+00:07,EN_Lot_1,2024-01-06 12:31:00,2024-01-06 08:30:00,-04:00,EN
1988,EN,7912,Q24,Q24-405,804004,,2024-01-06 09:18:00,2024-01-06 09:19:00,+00:01,EN,2024-01-06 19:20:00,2024-01-06 19:26:00,+00:06,EN
1989,EN,7913,,B83-301,38730,,2024-01-06 03:54:00,2024-01-06 02:08:00,-01:45,EN,2024-01-06 07:39:00,2024-01-06 07:41:00,+00:02,EN
1990,EN,7913,B83,B83-301,38730,,2024-01-06 08:35:00,2024-01-06 08:21:00,-00:13,EN,2024-01-06 13:00:00,2024-01-06 13:07:00,+00:07,EN
1991,EN,7913,B83,B15-121,39754,,2024-01-06 13:08:00,2024-01-06 13:21:00,+00:13,EN,2024-01-06 16:04:00,2024-01-06 16:11:00,+00:07,EN
1992,EN,7913,,B83-310,46186,,2024-01-06 16:18:00,2024-01-06 16:22:00,+00:04,EN,2024-01-06 21:57:00,2024-01-06 18:13:00,-03:43,EN
1994,EN,7913,Q56,B83-310,46186,,2024-01-06 22:43:00,2024-01-06 22:47:00,+00:04,EN,2024-01-07 01:55:00,2024-01-07 02:36:00,+00:41,EN
1995,EN,7914,,Q56-453,44925,,2024-01-06 11:44:00,2024-01-06 11:51:00,+00:07,EN,2024-01-06 16:00:00,2024-01-06 16:19:00,+00:19,EN
1996,EN,7914,B45,B45-809,284076,,2024-01-06 17:42:00,2024-01-06 19:41:00,+01:59,EN,2024-01-06 21:14:00,2024-01-06 20:59:00,-00:14,EN
1997,EN,7915,,B15-117,435099,,2024-01-06 10:21:00,2024-01-06 00:01:00,-10:19,EN,2024-01-06 14:37:00,2024-01-06 14:44:00,+00:07,EN
1998,EN,7915,,B15-117,435099,,2024-01-06 05:30:00,,,,2024-01-06 09:40:00,,,
1999,EN,7915,B12,B15-151,33556,,2024-01-06 14:55:00,2024-01-06 14:59:00,+00:04,EN,2024-01-07 01:32:00,2024-01-07 01:40:00,+00:08,EN
2000,EN,7916,,B25-206,337119,,2024-01-06 10:42:00,2024-01-06 00:47:00,-09:54,EN,2024-01-06 22:01:00,2024-01-06 22:49:00,+00:48,EN
2001,EN,7916,,B25-206,337119,,2024-01-06 05:50:00,,,,2024-01-06 09:50:00,,,
2003,EN,7917,B45,B45-808,42242,,2024-01-06 12:17:00,2024-01-06 12:29:00,+00:12,EN,2024-01-06 16:09:00,2024-01-07 02:30:00,+10:21,EN
2004,EN,7917,,B45-808,42242,,2024-01-06 16:57:00,,,,2024-01-06 18:55:00,,,
2005,EN,7917,,B45-808,42242,,2024-01-06 19:42:00,,,,2024-01-06 21:27:00,,,
2006,EN,7917,,B83-313,46184,,2024-01-06 20:28:00,,,,2024-01-07 01:44:00,,,
2007,EN,7919,,B83-314,727598,,2024-01-06 22:13:00,2024-01-06 21:49:00,-00:23,EN,2024-01-07 02:04:00,2024-01-07 17:47:00,-08:16,EN
2008,EN,7919,,B12-4,157004,,2024-01-06 03:49:00,,,,2024-01-06 21:42:00,,,
2009,EN,7919,B12,Q24-415,39790,,2024-01-06 17:59:00,2024-01-06 17:49:00,-00:09,EN,2024-01-07 00:51:00,2024-01-07 03:04:00,+02:13,EN
2011,EN,7920,B45,B45-805,412009,,2024-01-06 07:12:00,2024-01-06 07:19:00,+00:07,EN_Lot_1,2024-01-06 08:49:00,2024-01-06 22:14:00,+13:25,EN
2012,EN,7920,,B15-105,334109,,2024-01-06 08:48:00,,,,2024-01-06 20:01:00,,,
2013,EN,7920,,B83-308,605127,,2024-01-06 19:52:00,,,,2024-01-06 22:21:00,,,
2015,EN,7921,,B14-706,595027,,2024-01-06 07:54:00,2024-01-06 07:58:00,+00:04,EN_Lot_1,2024-01-06 11:48:00,2024-01-06 11:46:00,-00:01,EN
2016,EN,7921,M14A+,B65-853,73028,,2024-01-06 11:47:00,2024-01-06 11:55:00,+00:08,EN,2024-01-06 13:42:00,2024-01-06 14:04:00,+00:22,EN
2017,EN,7921,,B82-622,339021,,2024-01-06 14:26:00,2024-01-06 14:21:00,-00:04,EN,2024-01-06 18:15:00,2024-01-07 00:35:00,+06:20,EN
2018,EN,7921,,B82-644,366169,,2024-01-06 21:04:00,,,,2024-01-07 00:06:00,,,
2020,EN,7922,B45,B65-858,426094,,2024-01-06 07:32:00,2024-01-06 07:39:00,+00:07,EN,2024-01-06 10:52:00,2024-01-06 10:53:00,+00:01,EN
2021,EN,7922,B25,B15-129,46715,,2024-01-06 11:16:00,2024-01-06 11:17:00,+00:01,EN,2024-01-06 18:02:00,2024-01-06 15:56:00,-02:05,EN
2024,EN,7923,B15,B15-111,402075,,2024-01-06 04:13:00,2024-01-06 04:15:00,+00:02,EN,2024-01-06 07:56:00,2024-01-06 08:02:00,+00:06,EN
2025,EN,7923,B65,B65-859,591025,,2024-01-06 09:04:00,2024-01-06 09:04:00,+00:00,EN,2024-01-06 14:00:00,2024-01-06 14:35:00,+00:35,EN
2026,EN,7923,,B65-859,591025,,2024-01-06 14:44:00,2024-01-06 15:33:00,+00:49,EN,2024-01-06 16:45:00,2024-01-06 16:57:00,+00:12,EN
2028,EN,7924,B42,B42-504,40564,,2024-01-06 07:46:00,2024-01-06 07:55:00,+00:09,EN_Lot_1,2024-01-06 12:48:00,2024-01-07 00:24:00,+11:36,EN
2029,EN,7924,,B82-624,44556,,2024-01-06 13:34:00,,,,2024-01-06 23:58:00,,,
2030,EN,7925,,Q24-405,804004,,2024-01-06 05:03:00,2024-01-06 00:47:00,-04:15,EN,2024-01-06 10:32:00,2024-01-06 10:37:00,+00:05,EN
2031,EN,7925,Q24,Q24-409,39409,,2024-01-06 10:48:00,2024-01-06 10:55:00,+00:07,EN,2024-01-06 16:02:00,2024-01-06 16:09:00,+00:07,EN
2032,EN,7925,Q24,B17-775,47938,,2024-01-06 16:18:00,2024-01-06 16:21:00,+00:03,EN,2024-01-06 21:37:00,2024-01-07 02:20:00,+04:43,EN
2033,EN,7925,,B17-775,47938,,2024-01-06 22:44:00,,,,2024-01-07 01:34:00,,,
2035,EN,7926,B82,B82-602,580038,,2024-01-06 00:54:00,2024-01-06 00:54:00,+00:00,EN,2024-01-06 05:53:00,2024-01-06 09:27:00,+03:34,EN
2036,EN,7926,,B82-602,580038,,2024-01-06 06:49:00,,,,2024-01-06 09:32:00,,,
2037,EN,7926,B65,B65-860,46405,,2024-01-06 09:40:00,2024-01-06 09:39:00,-00:00,EN,2024-01-06 14:36:00,2024-01-06 14:36:00,+00:00,EN
2038,EN,7926,B84,B65-860,46405,,2024-01-06 15:35:00,2024-01-06 15:39:00,+00:04,EN,2024-01-06 18:30:00,2024-01-06 18:26:00,-00:03,EN
2040,EN,7927,B17,B17-755,32142,,2024-01-06 12:15:00,2024-01-06 12:11:00,-00:03,EN,2024-01-06 14:33:00,2024-01-06 14:35:00,+00:02,EN
2041,EN,7927,B83,B15-155,450272,,2024-01-06 15:33:00,2024-01-06 15:43:00,+00:10,EN,2024-01-06 20:15:00,2024-01-07 01:06:00,+04:51,EN
2042,EN,7927,,B15-155,450272,,2024-01-06 21:13:00,,,,2024-01-07 01:04:00,,,
2044,EN,7928,B15,B15-103,1193,,2024-01-06 02:10:00,2024-01-06 01:58:00,-00:11,EN,2024-01-06 04:55:00,2024-01-06 16:56:00,+12:01,EN
2045,EN,7928,,B15-103,1193,,2024-01-06 05:54:00,,,,2024-01-06 17:01:00,,,
2046,EN,7928,,B17-776,47913,,2024-01-06 17:01:00,2024-01-06 17:09:00,+00:08,EN,2024-01-06 22:20:00,2024-01-07 02:40:00,+04:20,EN
2047,EN,7928,,B17-776,47913,,2024-01-06 23:09:00,,,,2024-01-07 02:15:00,,,
2050,EN,9511,B15,B12-3,562715,,2024-01-06 03:32:00,2024-01-06 03:28:00,-00:03,EN,2024-01-06 06:19:00,2024-01-07 01:46:00,+19:27,EN
2051,EN,9511,,Q24-425,619167,,2024-01-06 22:07:00,,,,2024-01-07 01:04:00,,,
2053,EN,9512,B83,B83-309,40557,,2024-01-06 11:26:00,2024-01-06 11:33:00,+00:07,EN,2024-01-06 15:54:00,2024-01-06 15:57:00,+00:03,EN
2054,EN,9512,Q24,B25-235,134009,,2024-01-06 16:08:00,2024-01-06 16:11:00,+00:03,EN,2024-01-06 18:36:00,2024-01-06 18:45:00,+00:09,EN
2055,EN,9513,,B65-853,73028,,2024-01-06 05:16:00,2024-01-06 01:10:00,-04:05,EN,2024-01-06 11:05:00,2024-01-06 11:15:00,+00:10,EN
2056,EN,9513,Q56,B83-308,605127,,2024-01-06 11:20:00,2024-01-06 11:25:00,+00:05,EN,2024-01-06 13:24:00,2024-01-06 13:41:00,+00:17,EN
2057,EN,9513,B15,B15-142,12090,,2024-01-06 13:41:00,2024-01-06 13:51:00,+00:10,EN,2024-01-06 21:27:00,2024-01-06 21:23:00,-00:03,EN
2059,EN,9514,,B82-606,125488,,2024-01-06 04:39:00,,,,2024-01-06 21:14:00,,,
2060,EN,9514,,B65-866,437030,,2024-01-06 21:42:00,,,,2024-01-06 23:07:00,,,
2061,EN,9515,,B17-760,127114,,2024-01-06 06:20:00,2024-01-06 01:37:00,-04:42,EN,2024-01-06 09:55:00,2024-01-06 10:25:00,+00:30,EN
2062,EN,9517,B82,B82-621,856030,,2024-01-06 12:16:00,2024-01-06 12:28:00,+00:12,EN,2024-01-06 19:39:00,2024-01-06 14:54:00,-04:44,EN
2063,EN,9517,B83,B15-134,304194,,2024-01-06 15:28:00,2024-01-06 15:29:00,+00:01,EN,2024-01-06 16:54:00,2024-01-06 16:50:00,-00:03,EN
2064,EN,9517,B15,B15-129,46715,,2024-01-06 16:57:00,2024-01-06 17:11:00,+00:14,EN,2024-01-06 18:39:00,2024-01-06 22:54:00,+04:15,EN
2065,EN,9517,,B15-129,46715,,2024-01-06 19:57:00,,,,2024-01-06 22:38:00,,,
2066,EN,9520,,B12-8,46524,,2024-01-06 05:42:00,,,,2024-01-06 08:10:00,,,
2067,EN,9520,,B12-8,46524,,2024-01-06 08:59:00,,,,2024-01-06 20:42:00,,,
2068,EN,9520,,B15-144,46957,,2024-01-06 19:32:00,,,,2024-01-06 22:04:00,,,
2069,EN,9521,,B17-756,997003,,2024-01-06 09:53:00,2024-01-06 23:39:00,-10:13,EN,2024-01-06 14:39:00,2024-01-07 14:33:00,-00:05,EN
2070,EN,9521,,B17-756,997003,,2024-01-06 05:29:00,,,,2024-01-06 09:13:00,,,
2072,EN,9521,B15,B15-142,12090,,2024-01-06 19:27:00,2024-01-06 19:49:00,+00:22,EN,2024-01-06 22:42:00,2024-01-06 23:22:00,+00:40,EN
2073,EN,9521,B17,B14-717,47914,,2024-01-06 23:07:00,2024-01-06 23:27:00,+00:20,EN,2024-01-07 02:24:00,2024-01-07 02:52:00,+00:28,EN
2075,EN,9522,Q24,B15-114,40879,,2024-01-06 11:40:00,2024-01-06 11:35:00,-00:04,EN,2024-01-06 14:08:00,2024-01-06 14:05:00,-00:02,EN
2076,EN,9522,B45,B45-812,620161,,2024-01-06 14:32:00,2024-01-06 14:25:00,-00:06,EN,2024-01-06 18:31:00,2024-01-06 18:29:00,-00:01,EN
2078,EN,9525,,B15-109,536057,,2024-01-06 04:08:00,,,,2024-01-06 07:22:00,,,
2079,EN,9525,B14,B17-769,567066,,2024-01-06 13:30:00,2024-01-06 13:43:00,+00:13,EN,2024-01-06 16:41:00,2024-01-06 16:55:00,+00:14,EN
2081,EN,9526,B82,B82-621,856030,,2024-01-06 07:12:00,2024-01-06 12:22:00,+05:10,UP,2024-01-06 23:32:00,2024-01-06 23:52:00,+00:20,EN
2082,EN,9527,B83,B83-307,273074,,2024-01-06 10:35:00,2024-01-06 10:48:00,+00:13,EN,2024-01-06 16:24:00,2024-01-06 16:23:00,-00:00,EN
2083,EN,9527,Q56,Q24-414,47535,,2024-01-06 16:32:00,2024-01-06 16:35:00,+00:03,EN,2024-01-06 18:42:00,2024-01-06 18:43:00,+00:01,EN
2085,EN,9528,B82,B82-623,124025,,2024-01-06 07:44:00,2024-01-06 07:48:00,+00:04,EN_Lot_1,2024-01-06 14:46:00,2024-01-06 14:48:00,+00:02,EN
2086,EN,9528,,B15-109,536057,,2024-01-06 08:09:00,,,,2024-01-06 13:16:00,,,
2087,EN,9528,Q56,Q56-460,45853,,2024-01-06 14:56:00,2024-01-06 14:57:00,+00:01,EN,2024-01-06 19:10:00,2024-01-06 19:15:00,+00:05,EN
2088,EN,9528,Q56,B25-231,779097,,2024-01-06 19:38:00,2024-01-06 19:45:00,+00:07,EN,2024-01-06 23:26:00,2024-01-07 02:34:00,+03:08,EN
2089,EN,9528,,B65-873,47875,,2024-01-06 22:37:00,,,,2024-01-07 01:27:00,,,
2090,EN,9529,,Q24-403,964036,,2024-01-06 03:44:00,2024-01-06 20:17:00,-07:26,EN,2024-01-06 07:20:00,2024-01-07 07:26:00,+00:06,EN
2091,EN,9529,Q56,Q56-463,555047,,2024-01-06 15:08:00,2024-01-06 15:25:00,+00:17,EN,2024-01-06 19:25:00,2024-01-06 20:24:00,+00:59,EN
2093,EN,9530,,B15-150,47939,,2024-01-06 19:35:00,2024-01-06 19:25:00,-00:09,EN,2024-01-06 21:13:00,2024-01-06 19:26:00,-01:46,EN_Lot_1
2094,EN,9530,B65,B65-861,121034,,2024-01-06 14:02:00,2024-01-06 14:14:00,+00:12,EN_Lot_1,2024-01-06 18:56:00,2024-01-06 19:13:00,+00:17,EN
2095,EN,9530,Q24,B15-150,47939,,2024-01-06 23:04:00,2024-01-06 19:38:00,-03:25,EN,2024-01-07 02:12:00,2024-01-07 03:06:00,+00:54,EN
2097,EN,9532,Q12,B12-10,693054,,2024-01-06 07:31:00,2024-01-06 07:34:00,+00:03,EN_Lot_1,2024-01-07 00:26:00,2024-01-06 22:04:00,-02:21,EN
2098,EN,9533,,B82-649,47153,,2024-01-06 21:34:00,2024-01-06 21:13:00,-00:20,EN,2024-01-07 02:53:00,2024-01-06 21:14:00,-05:38,EN_Lot_1
2099,EN,9533,B82,B82-622,339021,,2024-01-06 07:32:00,2024-01-06 07:27:00,-00:04,EN_Lot_1,2024-01-06 20:50:00,2024-01-06 15:30:00,-05:19,UP
2101,EN,9534,B84,B65-856,44532,,2024-01-06 11:35:00,2024-01-06 11:39:00,+00:04,EN,2024-01-06 14:00:00,2024-01-06 13:59:00,-00:00,EN
2102,EN,9534,,B82-631,47409,,2024-01-06 12:36:00,,,,2024-01-06 19:56:00,,,
2142,FB,4595,B31,B31-102,878010,,2024-01-06 05:04:00,2024-01-06 05:05:00,+00:01,FB,2024-01-06 09:48:00,2024-01-06 09:50:00,+00:02,FB
2143,FB,4595,,B49-504,73002,,2024-01-06 11:12:00,2024-01-06 11:14:00,+00:02,FB,2024-01-06 14:30:00,2024-01-06 14:31:00,+00:01,FB
2144,FB,4595,B46,B46-437,29199,,2024-01-06 14:43:00,2024-01-06 15:03:00,+00:20,FB,2024-01-06 17:41:00,2024-01-06 18:07:00,+00:26,FB
2145,FB,4596,B44,B44-324,45164,,2024-01-06 11:57:00,2024-01-06 11:51:00,-00:05,FB,2024-01-06 17:46:00,2024-01-06 17:58:00,+00:12,FB
2147,FB,4605,B49,B49-514,523169,,2024-01-06 14:57:00,2024-01-06 14:53:00,-00:03,FB,2024-01-06 18:12:00,2024-01-06 17:53:00,-00:18,FB
2148,FB,4612,B46,B46-406,955039,,2024-01-06 04:57:00,2024-01-06 05:01:00,+00:04,FB,2024-01-06 09:31:00,2024-01-06 09:13:00,-00:17,FB
2149,FB,4612,B41,B41-237,199297,,2024-01-06 10:48:00,2024-01-06 10:15:00,-00:32,FB,2024-01-06 13:10:00,2024-01-06 13:21:00,+00:11,FB
2150,FB,4612,B41,B41-256,212026,,2024-01-06 13:56:00,2024-01-06 13:42:00,-00:13,FB,2024-01-06 16:26:00,2024-01-06 16:16:00,-00:09,FB
2151,FB,4612,B41,B41-252,36800,,2024-01-06 16:36:00,2024-01-06 16:39:00,+00:03,FB,2024-01-06 21:30:00,2024-01-06 21:22:00,-00:07,FB
2152,FB,4612,B41,B41-270,756385,,2024-01-06 21:14:00,2024-01-06 21:33:00,+00:19,FB,2024-01-07 01:33:00,2024-01-07 01:55:00,+00:22,FB
2154,FB,4613,B41,B41-212,86002,,2024-01-06 06:51:00,2024-01-06 06:39:00,-00:11,FB,2024-01-06 09:09:00,2024-01-06 09:15:00,+00:06,FB
2155,FB,4613,B2,B31-102,878010,,2024-01-06 10:25:00,2024-01-06 10:33:00,+00:08,FB,2024-01-06 12:58:00,2024-01-06 13:05:00,+00:07,FB
2156,FB,4613,,B41-255,452036,,2024-01-06 13:30:00,2024-01-06 13:32:00,+00:02,FB,2024-01-06 16:21:00,2024-01-06 16:23:00,+00:02,FB
2157,FB,4613,B41,B41-235,42728,,2024-01-06 16:23:00,2024-01-06 16:35:00,+00:12,FB,2024-01-06 18:50:00,2024-01-06 18:51:00,+00:01,FB
2158,FB,4614,,B46-405,997006,,2024-01-06 09:53:00,2024-01-06 10:26:00,+00:33,FB,2024-01-06 12:36:00,2024-01-06 12:25:00,-00:10,FB
2159,FB,4614,B46,B46-430,45038,,2024-01-06 13:09:00,2024-01-06 13:09:00,+00:00,FB,2024-01-06 16:11:00,2024-01-06 16:15:00,+00:04,FB
2160,FB,4614,,SBS46-709,432098,,2024-01-06 13:10:00,,,,2024-01-06 19:02:00,,,
2161,FB,4614,B41,B41-251,228056,,2024-01-06 16:03:00,2024-01-06 16:39:00,+00:36,FB,2024-01-06 21:32:00,2024-01-06 21:50:00,+00:18,FB
2162,FB,4619,,B41-214,555001,,2024-01-06 07:22:00,,,,2024-01-06 11:59:00,,,
2163,FB,4619,,B41-214,555001,,2024-01-06 12:44:00,,,,2024-01-06 15:09:00,,,
2164,FB,4619,,B46-427,555001,,2024-01-06 15:28:00,,,,2024-01-07 02:08:00,,,
2166,FB,4621,B46,B46-405,997006,,2024-01-06 04:47:00,2024-01-06 04:57:00,+00:10,FB,2024-01-06 09:09:00,2024-01-06 08:29:00,-00:39,FB
2167,FB,4621,,B46-404,45881,,2024-01-06 08:54:00,2024-01-06 09:02:00,+00:08,FB,2024-01-06 11:31:00,2024-01-06 11:53:00,+00:22,FB
2168,FB,4621,B46,B46-419,46056,,2024-01-06 12:13:00,2024-01-06 12:22:00,+00:09,FB,2024-01-06 20:56:00,2024-01-06 20:57:00,+00:01,FB
2169,FB,4621,B46,B46-436,802088,,2024-01-06 21:08:00,2024-01-06 21:12:00,+00:04,FB,2024-01-06 23:42:00,2024-01-06 23:33:00,-00:08,FB
2170,FB,4628,,B49-509,644061,,2024-01-06 06:42:00,2024-01-06 06:21:00,-00:20,FB,2024-01-06 09:30:00,2024-01-06 09:32:00,+00:02,FB
2172,FB,4628,,B41-258,920017,,2024-01-06 14:12:00,2024-01-06 14:33:00,+00:21,FB,2024-01-06 16:43:00,2024-01-06 22:31:00,+05:48,FB
2173,FB,5486,B44+,SB44-609,39324,,2024-01-06 06:57:00,2024-01-06 06:59:00,+00:02,FB,2024-01-06 10:15:00,2024-01-06 23:35:00,+13:20,FB
2174,FB,5486,,SB44-609,39324,,2024-01-06 11:10:00,,,,2024-01-06 23:33:00,,,
2175,FB,5498,B44+,SB44-608,727274,,2024-01-06 06:54:00,2024-01-06 07:07:00,+00:13,FB,2024-01-06 14:07:00,2024-01-06 14:15:00,+00:08,FB
2176,FB,5498,B46+,SBS46-724,41271,,2024-01-06 14:37:00,2024-01-06 14:46:00,+00:09,FB,2024-01-06 18:32:00,2024-01-06 18:45:00,+00:13,FB
2177,FB,6032,,SB44-601,145020,,2024-01-06 05:48:00,2024-01-06 05:48:00,+00:00,FB,2024-01-06 10:15:00,2024-01-06 10:11:00,-00:03,FB
2178,FB,6032,B44+,SB44-618,110047,,2024-01-06 11:00:00,2024-01-06 11:11:00,+00:11,FB,2024-01-06 14:57:00,2024-01-06 14:53:00,-00:03,FB
2180,FB,6034,,SB44-602,615034,,2024-01-06 06:04:00,2024-01-06 06:10:00,+00:06,FB,2024-01-06 10:36:00,2024-01-06 10:30:00,-00:06,FB
2181,FB,6034,,SB44-601,145020,,2024-01-06 10:54:00,2024-01-06 10:52:00,-00:01,FB,2024-01-06 16:05:00,2024-01-06 19:26:00,+03:21,FB
2182,FB,6034,,SB44-615,43709,,2024-01-06 17:17:00,,,,2024-01-06 19:19:00,,,
2183,FB,6034,B46+,SBS46-716,521061,,2024-01-06 19:50:00,2024-01-06 19:58:00,+00:08,FB,2024-01-06 23:23:00,2024-01-06 23:08:00,-00:14,FB
2184,FB,6038,B44+,SB44-612,470579,,2024-01-06 07:28:00,2024-01-06 07:25:00,-00:02,FB,2024-01-06 14:57:00,2024-01-06 17:09:00,+02:12,FB
2185,FB,6038,,SB44-620,44012,,2024-01-06 17:57:00,2024-01-06 18:15:00,+00:18,FB,2024-01-06 22:24:00,2024-01-06 22:29:00,+00:05,FB
2186,FB,6044,B46+,SBS46-721,201169,,2024-01-06 19:10:00,2024-01-06 19:18:00,+00:08,FB,2024-01-06 22:43:00,2024-01-06 22:43:00,+00:00,FB
2187,FB,6046,B46+,SBS46-712,6822,,2024-01-06 07:22:00,2024-01-06 07:40:00,+00:18,FB,2024-01-06 12:45:00,2024-01-06 12:43:00,-00:01,FB
2188,FB,6046,B46+,SBS46-709,432098,,2024-01-06 13:10:00,2024-01-06 13:19:00,+00:09,FB,2024-01-06 19:02:00,2024-01-06 18:59:00,-00:02,FB
2189,FB,6046,B46+,SB44-624,662135,,2024-01-06 19:19:00,2024-01-06 19:00:00,-00:18,FB,2024-01-06 21:49:00,2024-01-06 19:09:00,-02:39,FB
2191,FB,6052,B44+,SB44-605,968418,,2024-01-06 06:24:00,2024-01-06 06:29:00,+00:05,FB,2024-01-06 09:34:00,2024-01-06 15:41:00,+06:07,FB
2192,FB,6052,,SB44-605,968418,,2024-01-06 10:22:00,,,,2024-01-06 15:31:00,,,
2193,FB,6052,B44+,SB44-625,27705,,2024-01-06 17:33:00,2024-01-06 17:30:00,-00:02,FB,2024-01-06 22:36:00,2024-01-06 22:31:00,-00:04,FB
2194,FB,6054,,SB44-613,766057,,2024-01-06 08:22:00,2024-01-06 08:24:00,+00:02,FB,2024-01-06 18:21:00,2024-01-06 18:45:00,+00:24,FB
2195,FB,6054,B46+,SBS46-724,41271,,2024-01-06 19:30:00,2024-01-06 19:44:00,+00:14,FB,2024-01-06 23:03:00,2024-01-06 22:59:00,-00:03,FB
2196,FB,6056,,SB44-602,615034,,2024-01-06 11:16:00,2024-01-06 11:22:00,+00:06,FB,2024-01-06 17:13:00,2024-01-06 17:21:00,+00:08,FB
2197,FB,6056,B44+,SB44-629,560048,,2024-01-06 18:13:00,2024-01-06 18:21:00,+00:08,FB,2024-01-06 23:08:00,2024-01-06 23:11:00,+00:03,FB
2199,FB,6058,B46+,SBS46-730,46652,,2024-01-06 20:50:00,2024-01-06 16:19:00,-04:30,FB,2024-01-07 00:20:00,2024-01-07 00:16:00,-00:03,FB
2200,FB,6060,B46+,SBS46-708,576030,,2024-01-06 06:50:00,2024-01-06 06:53:00,+00:03,FB,2024-01-06 12:08:00,2024-01-06 12:07:00,-00:00,FB
2201,FB,6060,B44+,SB44-625,27705,,2024-01-06 14:16:00,2024-01-06 13:57:00,-00:18,FB,2024-01-06 16:22:00,2024-01-06 16:28:00,+00:06,FB
2202,FB,6060,,SB44-623,40361,,2024-01-06 16:53:00,2024-01-06 17:00:00,+00:07,FB,2024-01-07 00:02:00,2024-01-06 22:41:00,-01:20,FB
2203,FB,6062,B44+,SB44-611,38090,,2024-01-06 07:14:00,2024-01-06 07:27:00,+00:13,FB,2024-01-06 18:39:00,2024-01-06 18:36:00,-00:02,FB
2204,FB,6064,,SBS46-702,43762,,2024-01-06 06:02:00,2024-01-06 05:37:00,-00:24,FB,2024-01-06 14:57:00,2024-01-06 14:59:00,+00:02,FB
2205,FB,6064,B44+,SB44-629,560048,,2024-01-06 15:24:00,2024-01-06 16:51:00,+01:27,FB,2024-01-06 17:30:00,2024-01-06 17:37:00,+00:07,FB
2206,FB,6064,B44+,SB44-626,38276,,2024-01-06 18:37:00,2024-01-06 19:14:00,+00:37,FB,2024-01-06 22:59:00,2024-01-06 23:14:00,+00:15,FB
2207,FB,6066,,SBS46-703,920017,,2024-01-06 11:56:00,2024-01-06 12:12:00,+00:16,FB,2024-01-06 19:45:00,2024-01-06 19:53:00,+00:08,FB
2208,FB,6066,B46+,SBS46-729,44833,,2024-01-06 20:40:00,2024-01-06 21:07:00,+00:27,FB,2024-01-07 00:09:00,2024-01-07 00:02:00,-00:06,FB
2209,FB,6110,,SB44-616,954002,,2024-01-06 10:06:00,2024-01-06 10:18:00,+00:12,FB,2024-01-06 15:14:00,2024-01-06 15:07:00,-00:06,FB
2210,FB,6110,B44+,SB44-621,46517,,2024-01-06 17:13:00,2024-01-06 17:15:00,+00:02,FB,2024-01-06 22:12:00,2024-01-06 22:16:00,+00:04,FB
2211,FB,6114,B44+,SB44-626,38276,,2024-01-06 15:02:00,2024-01-06 15:20:00,+00:18,FB,2024-01-06 17:47:00,2024-01-06 18:09:00,+00:22,FB
2212,FB,6119,,SBS46-713,46754,,2024-01-06 07:29:00,2024-01-06 07:41:00,+00:12,FB,2024-01-06 14:50:00,2024-01-06 14:47:00,-00:02,FB
2213,FB,6119,B46+,SBS46-717,948036,,2024-01-06 14:59:00,2024-01-06 15:07:00,+00:08,FB,2024-01-06 20:45:00,2024-01-06 20:49:00,+00:04,FB
2214,FB,6122,B46+,SBS46-705,316029,,2024-01-06 06:26:00,2024-01-06 06:32:00,+00:06,FB,2024-01-06 11:35:00,2024-01-06 14:17:00,+02:42,FB
2215,FB,6122,,SBS46-705,316029,,2024-01-06 12:27:00,,,,2024-01-06 14:20:00,,,
2216,FB,6122,B46+,SB44-613,766057,,2024-01-06 14:45:00,2024-01-06 14:52:00,+00:07,FB,2024-01-06 17:30:00,2024-01-06 17:35:00,+00:05,FB
2217,FB,6123,B46+,SBS46-709,432098,,2024-01-06 06:58:00,2024-01-06 07:09:00,+00:11,FB,2024-01-06 18:11:00,2024-01-06 18:11:00,+00:00,FB
2218,FB,6123,,SB44-627,270094,,2024-01-06 19:07:00,2024-01-06 19:27:00,+00:20,FB,2024-01-06 23:47:00,2024-01-06 23:27:00,-00:19,FB
2219,FB,6124,B46+,SBS46-707,761047,,2024-01-06 06:42:00,2024-01-06 06:38:00,-00:03,FB,2024-01-06 13:56:00,2024-01-06 10:07:00,-03:48,FB
2221,FB,6124,B46+,SBS46-713,46754,,2024-01-06 13:45:00,2024-01-06 14:08:00,+00:23,FB,2024-01-06 23:13:00,2024-01-06 23:13:00,+00:00,FB
